MT	1	21
MT	2	22
MT	3	24
MT	4	24
MT	5	24
MT	6	25
MT	7	25
MT	8	26
MT	9	25
MT	10	28
MT	11	28
MT	12	29
MT	13	29
MT	14	29
MT	15	30
MT	16	28
MT	17	29
MT	18	30
MT	19	32
MT	20	32
MT	21	32
MT	22	33
MT	23	33
MT	24	32
MT	25	31
MT	26	32
MT	27	32
MT	28	32
MT	29	33
MT	30	34
MT	31	37
MT	32	35
MT	33	36
MT	34	35
MT	35	35
MT	36	36
MT	37	37
MT	38	38
MT	39	39
MT	40	39
MT	41	42
MT	42	42
MT	43	42
MT	44	43
MT	45	43
MT	46	44
MT	47	45
MT	48	45
MT	49	44
MT	50	47
MT	51	47
MT	52	49
MT	53	49
MT	54	49
MT	55	47
MT	56	51
MT	57	54
MT	58	56
MT	59	56
MT	60	53
MT	61	56
MT	62	59
MT	63	58
MT	64	63
MT	65	60
MT	66	65
MT	67	64
MT	68	65
MT	69	65
MT	70	67
MT	71	67
MT	72	64
MT	73	65
MT	74	65
MT	75	67
MT	76	70
MT	77	66
MT	78	69
MT	79	70
MT	80	70
MT	81	71
MT	82	72
MT	83	74
MT	84	76
MT	85	77
MT	86	78
MT	87	78
MT	88	80
MT	89	77
MT	90	81
MT	91	80
MT	92	81
MT	93	83
MT	94	84
MT	95	84
MT	96	84
MT	97	84
MT	98	86
MT	99	86
MT	100	89
MT	101	91
MT	102	90
MT	103	88
MT	104	89
MT	105	90
MT	106	89
MT	107	90
MT	108	86
MT	109	88
MT	110	90
MT	111	87
MT	112	90
MT	113	90
MT	114	90
MT	115	89
MT	116	88
MT	117	89
MT	118	89
MT	119	86
MT	120	87
MT	121	88
MT	122	89
MT	123	89
MT	124	92
MT	125	90
MT	126	90
MT	127	91
MT	128	94
MT	129	95
MT	130	94
MT	131	95
MT	132	96
MT	133	97
MT	134	96
MT	135	98
MT	136	97
MT	137	95
MT	138	96
MT	139	95
MT	140	91
MT	141	95
MT	142	96
MT	143	98
MT	144	95
MT	145	97
MT	146	96
MT	147	94
MT	148	94
MT	149	94
MT	150	95
MT	151	97
MT	152	96
MT	153	97
